Product,Price,Rating,Description,Url,Review Url
ASUS TUF Gaming A15 (2023) with 90WHr Battery Ryzen 7 Octa Core 7735HS - (16 GB/512 GB SSD/Windows 11 ...,94990.0,4.4,AMD Ryzen 7 Octa Core Processor16 GB DDR5 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,https://www.flipkart.com/asus-tuf-gaming-a15-2023-90whr-battery-ryzen-7-octa-core-7735hs-16-gb-512-gb-ssd-windows-11-home-6-graphics-nvidia-geforce-rtx-4050-144-hz-140-w-fa577nu-lp082w-laptop/p/itm645a18a9de60f?pid=COMGPFPCTS9SK94A&lid=LSTCOMGPFPCTS9SK94AUL5DCS&marketplace=FLIPKART&q=laptop+under+under+150000&store=6bo%2Fb5g&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=en_nLA5jaflzFXd-NdRlAblzGzjKpV-dkQWHdIB4hXbWxpwo-N1dimrtoeP9eBsdVZIDSoXxFBlAfUnDQdYXe9BUw%3D%3D&ppt=None&ppn=None&ssid=x9pupqm2q80000001699188335037&qH=c5d334db81c10595,https://www.flipkart.com/asus-tuf-gaming-a15-2023-90whr-battery-ryzen-7-octa-core-7735hs-16-gb-512-gb-ssd-windows-11-home-6-graphics-nvidia-geforce-rtx-4050-144-hz-140-w-fa577nu-lp082w-laptop/product-reviews/itm645a18a9de60f?pid=COMGPFPCTS9SK94A&lid=LSTCOMGPFPCTS9SK94AUL5DCS&marketplace=FLIPKART&q=laptop+under+under+150000&store=6bo%2Fb5g&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=en_nLA5jaflzFXd-NdRlAblzGzjKpV-dkQWHdIB4hXbWxpwo-N1dimrtoeP9eBsdVZIDSoXxFBlAfUnDQdYXe9BUw%3D%3D&ppt=None&ppn=None&ssid=x9pupqm2q80000001699188335037&qH=c5d334db81c10595
ASUS TUF Gaming F15 with 90WHr Battery Core i5 11th Gen 11400H - (16 GB/512 GB SSD/Windows 11 Home/4 G...,59990.0,4.5,Intel Core i5 Processor (11th Gen)16 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,https://www.flipkart.com/asus-tuf-gaming-f15-90whr-battery-core-i5-11th-gen-11400h-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-144-hz-75-w-fx506hc-hn362w-laptop/p/itme1099c5e0c014?pid=COMGPQEXKNS6N2ZM&lid=LSTCOMGPQEXKNS6N2ZM0B2U0W&marketplace=FLIPKART&q=laptop+under+under+150000&store=6bo%2Fb5g&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=en_nLA5jaflzFXd-NdRlAblzGzjKpV-dkQWHdIB4hXbWxoK5h-ldEabGaG-tq2YP4uLSZT-Hj9JgwadzCHjRNNfWg%3D%3D&ppt=None&ppn=None&ssid=x9pupqm2q80000001699188335037&qH=c5d334db81c10595,https://www.flipkart.com/asus-tuf-gaming-f15-90whr-battery-core-i5-11th-gen-11400h-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-144-hz-75-w-fx506hc-hn362w-laptop/product-reviews/itme1099c5e0c014?pid=COMGPQEXKNS6N2ZM&lid=LSTCOMGPQEXKNS6N2ZM0B2U0W&marketplace=FLIPKART&q=laptop+under+under+150000&store=6bo%2Fb5g&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=en_nLA5jaflzFXd-NdRlAblzGzjKpV-dkQWHdIB4hXbWxoK5h-ldEabGaG-tq2YP4uLSZT-Hj9JgwadzCHjRNNfWg%3D%3D&ppt=None&ppn=None&ssid=x9pupqm2q80000001699188335037&qH=c5d334db81c10595
DELL Core i7 12th Gen 1255U - (16 GB/512 GB SSD/Windows 11 Home/2 GB Graphics) Inspiron 7420 Thin and ...,96990.0,4.0,"Processor: Intel i7-1255U (Base- 3.50 GHz & Turbo up to 4.70 GHz) 10 CoresRAM & Storage: 16GB DDR4 & 512GB SSDGraphics & Keyboard: NVIDIAGeForceMX550 (2GB GDDR6) + Fingerprint ReaderDisplay: 14.0"" FHD+ WVA Truelife Touch Narrow Border 250 nits, Dell Active PenIntel Core i7 Processor (12th Gen)16 GB DDR5 RAM64 bit Windows 11 Operating System512 GB SSD35.56 cm (14 Inch) Touchscreen Display1 Year Onsite Hardware Service",https://www.flipkart.com/dell-core-i7-12th-gen-1255u-16-gb-512-gb-ssd-windows-11-home-2-graphics-inspiron-7420-thin-light-laptop/p/itmcdfef8dacb6b3?pid=COMGFRHGQM9FRQFX&lid=LSTCOMGFRHGQM9FRQFXAIPI2V&marketplace=FLIPKART&q=laptop+under+under+150000&store=6bo%2Fb5g&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=70d0256a-65e3-4dd5-993d-90bd8faf9533.COMGFRHGQM9FRQFX.SEARCH&ppt=None&ppn=None&ssid=x9pupqm2q80000001699188335037&qH=c5d334db81c10595,https://www.flipkart.com/dell-core-i7-12th-gen-1255u-16-gb-512-gb-ssd-windows-11-home-2-graphics-inspiron-7420-thin-light-laptop/product-reviews/itmcdfef8dacb6b3?pid=COMGFRHGQM9FRQFX&lid=LSTCOMGFRHGQM9FRQFXAIPI2V&marketplace=FLIPKART&q=laptop+under+under+150000&store=6bo%2Fb5g&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=70d0256a-65e3-4dd5-993d-90bd8faf9533.COMGFRHGQM9FRQFX.SEARCH&ppt=None&ppn=None&ssid=x9pupqm2q80000001699188335037&qH=c5d334db81c10595
APPLE 2022 MacBook AIR M2 - (8 GB/512 GB SSD/Mac OS Monterey) MLY43HN/A,117990.0,4.6,"Apple M2 Processor8 GB Unified Memory RAMMac OS Operating System512 GB SSD34.54 cm (13.6 Inch) DisplayBuilt-in Apps: iMovie, Siri, GarageBand, Pages, Numbers, Photos, Keynote, Safari, Mail, FaceTime, Messages, Maps, Stocks, Home, Voice Memos, Notes, Calendar, Contacts, Reminders, Photo Booth, Preview, Books, App Store, Time Machine, TV, Music, Podcasts, Find My, QuickTime Player1 Year Limited Warranty",https://www.flipkart.com/apple-2022-macbook-air-m2-8-gb-512-gb-ssd-mac-os-monterey-mly43hn-a/p/itm85d8044d46450?pid=COMGFB2GDBDYXF9D&lid=LSTCOMGFB2GDBDYXF9DPTKNCZ&marketplace=FLIPKART&q=laptop+under+under+150000&store=6bo%2Fb5g&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=70d0256a-65e3-4dd5-993d-90bd8faf9533.COMGFB2GDBDYXF9D.SEARCH&ppt=None&ppn=None&ssid=x9pupqm2q80000001699188335037&qH=c5d334db81c10595,https://www.flipkart.com/apple-2022-macbook-air-m2-8-gb-512-gb-ssd-mac-os-monterey-mly43hn-a/product-reviews/itm85d8044d46450?pid=COMGFB2GDBDYXF9D&lid=LSTCOMGFB2GDBDYXF9DPTKNCZ&marketplace=FLIPKART&q=laptop+under+under+150000&store=6bo%2Fb5g&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=70d0256a-65e3-4dd5-993d-90bd8faf9533.COMGFB2GDBDYXF9D.SEARCH&ppt=None&ppn=None&ssid=x9pupqm2q80000001699188335037&qH=c5d334db81c10595
Lenovo Legion 5 Pro Ryzen 7 Octa Core 5800H - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeF...,104990.0,4.5,AMD Ryzen 7 Octa Core Processor16 GB DDR4 RAM64 bit Windows 11 Operating System1 TB SSD40.64 cm (16 inch) DisplayMicrosoft Office Home & Student 20193 Years Onsite�Warranty�+ 3 Years Legion Ultimate Support + 1 Year Accidental Damage Protection,https://www.flipkart.com/lenovo-legion-5-pro-ryzen-7-octa-core-5800h-16-gb-1-tb-ssd-windows-11-home-6-gb-graphics-nvidia-geforce-rtx-3060-82jq00jcin-82jq0062in-82jq011fin-gaming-laptop/p/itm71ab8a1de490a?pid=COMG6ZFCB5CP39HX&lid=LSTCOMG6ZFCB5CP39HXUACVZD&marketplace=FLIPKART&q=laptop+under+under+150000&store=6bo%2Fb5g&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=70d0256a-65e3-4dd5-993d-90bd8faf9533.COMG6ZFCB5CP39HX.SEARCH&ppt=None&ppn=None&ssid=x9pupqm2q80000001699188335037&qH=c5d334db81c10595,https://www.flipkart.com/lenovo-legion-5-pro-ryzen-7-octa-core-5800h-16-gb-1-tb-ssd-windows-11-home-6-gb-graphics-nvidia-geforce-rtx-3060-82jq00jcin-82jq0062in-82jq011fin-gaming-laptop/product-reviews/itm71ab8a1de490a?pid=COMG6ZFCB5CP39HX&lid=LSTCOMG6ZFCB5CP39HXUACVZD&marketplace=FLIPKART&q=laptop+under+under+150000&store=6bo%2Fb5g&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=70d0256a-65e3-4dd5-993d-90bd8faf9533.COMG6ZFCB5CP39HX.SEARCH&ppt=None&ppn=None&ssid=x9pupqm2q80000001699188335037&qH=c5d334db81c10595
APPLE 2022 MacBook Pro M2 - (8 GB/256 GB SSD/Mac OS Monterey) MNEH3HN/A,109990.0,4.6,"Apple M2 Processor8 GB Unified Memory RAMMac OS Operating System256 GB SSD33.78 cm (13.3 Inch) DisplayBuilt-in Apps: iMovie, Siri, GarageBand, Pages, Numbers, Photos, Keynote, Safari, Mail, FaceTime, Messages, Maps, Stocks, Home, Voice Memos, Notes, Calendar, Contacts, Reminders, Photo Booth, Preview, Books, App Store, Time Machine, TV, Music, Podcasts, Find My, QuickTime Player1 Year Limited Warranty",https://www.flipkart.com/apple-2022-macbook-pro-m2-8-gb-256-gb-ssd-mac-os-monterey-mneh3hn-a/p/itmfa83bc5179407?pid=COMGFB2GHCBHUDTZ&lid=LSTCOMGFB2GHCBHUDTZMVC2QE&marketplace=FLIPKART&q=laptop+under+under+150000&store=6bo%2Fb5g&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=70d0256a-65e3-4dd5-993d-90bd8faf9533.COMGFB2GHCBHUDTZ.SEARCH&ppt=None&ppn=None&ssid=x9pupqm2q80000001699188335037&qH=c5d334db81c10595,https://www.flipkart.com/apple-2022-macbook-pro-m2-8-gb-256-gb-ssd-mac-os-monterey-mneh3hn-a/product-reviews/itmfa83bc5179407?pid=COMGFB2GHCBHUDTZ&lid=LSTCOMGFB2GHCBHUDTZMVC2QE&marketplace=FLIPKART&q=laptop+under+under+150000&store=6bo%2Fb5g&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=70d0256a-65e3-4dd5-993d-90bd8faf9533.COMGFB2GHCBHUDTZ.SEARCH&ppt=None&ppn=None&ssid=x9pupqm2q80000001699188335037&qH=c5d334db81c10595
MSI GP65 Leopard Core i7 10th Gen 10750H - (16 GB/1 TB HDD/256 GB SSD/Windows 10 Home/6 GB Graphics/NV...,130990.0,4.5,"15.6 inches Full HD IPS Thin Bezel Display (144Hz, 45% NTSC Color Gamut)Intel Core i7 Processor (10th Gen)16 GB DDR4 RAM64 bit Windows 10 Operating System1 TB HDD|256 GB SSD39.62 cm (15.6 inch) DisplaySHIFT, SteelSeries Engine 3, Matrix Display (Extend), Dragon Center, GamingMode, VR Ready, Cooler Boost 5, Nahimic 3, Nahimic VR, Giant Speaker2 Year Warranty Term for Gaming",https://www.flipkart.com/msi-gp65-leopard-core-i7-10th-gen-10750h-16-gb-1-tb-hdd-256-gb-ssd-windows-10-home-6-graphics-nvidia-geforce-rtx-2060-144-hz-10sek-830in-gaming-laptop/p/itm8ec7be8fccbb0?pid=COMGFYZ3AYJAZANF&lid=LSTCOMGFYZ3AYJAZANFHXCW0V&marketplace=FLIPKART&q=laptop+under+under+150000&store=6bo%2Fb5g&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=70d0256a-65e3-4dd5-993d-90bd8faf9533.COMGFYZ3AYJAZANF.SEARCH&ppt=None&ppn=None&ssid=x9pupqm2q80000001699188335037&qH=c5d334db81c10595,https://www.flipkart.com/msi-gp65-leopard-core-i7-10th-gen-10750h-16-gb-1-tb-hdd-256-gb-ssd-windows-10-home-6-graphics-nvidia-geforce-rtx-2060-144-hz-10sek-830in-gaming-laptop/product-reviews/itm8ec7be8fccbb0?pid=COMGFYZ3AYJAZANF&lid=LSTCOMGFYZ3AYJAZANFHXCW0V&marketplace=FLIPKART&q=laptop+under+under+150000&store=6bo%2Fb5g&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=70d0256a-65e3-4dd5-993d-90bd8faf9533.COMGFYZ3AYJAZANF.SEARCH&ppt=None&ppn=None&ssid=x9pupqm2q80000001699188335037&qH=c5d334db81c10595
Lenovo IdeaPad Slim 3 Intel Core i5 11th Gen 1135G7 - (16 GB/512 GB SSD/Windows 11 Home) 15ITL6 Thin a...,43039.0,4.2,Intel Core i5 Processor (11th Gen)16 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 inch) Display1 Year Onsite Warranty + 1 Year ADP,https://www.flipkart.com/lenovo-ideapad-slim-3-intel-core-i5-11th-gen-1135g7-16-gb-512-gb-ssd-windows-11-home-15itl6-thin-light-laptop/p/itm36fec4d6ab322?pid=COMGKC6Y2KA8HMFT&lid=LSTCOMGKC6Y2KA8HMFTCCRJQM&marketplace=FLIPKART&q=laptop+under+under+150000&store=6bo%2Fb5g&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=en_nLA5jaflzFXd-NdRlAblzGzjKpV-dkQWHdIB4hXbWxqZ3q1cKUdhcgJkeCmyDq4wplZGqs7orZMsjMKCGX86Pw%3D%3D&ppt=None&ppn=None&ssid=x9pupqm2q80000001699188335037&qH=c5d334db81c10595,https://www.flipkart.com/lenovo-ideapad-slim-3-intel-core-i5-11th-gen-1135g7-16-gb-512-gb-ssd-windows-11-home-15itl6-thin-light-laptop/product-reviews/itm36fec4d6ab322?pid=COMGKC6Y2KA8HMFT&lid=LSTCOMGKC6Y2KA8HMFTCCRJQM&marketplace=FLIPKART&q=laptop+under+under+150000&store=6bo%2Fb5g&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=en_nLA5jaflzFXd-NdRlAblzGzjKpV-dkQWHdIB4hXbWxqZ3q1cKUdhcgJkeCmyDq4wplZGqs7orZMsjMKCGX86Pw%3D%3D&ppt=None&ppn=None&ssid=x9pupqm2q80000001699188335037&qH=c5d334db81c10595
APPLE 2022 MacBook Pro M2 - (8 GB/512 GB SSD/Mac OS Monterey) MNEJ3HN/A,129990.0,4.6,"Apple M2 Processor8 GB Unified Memory RAMMac OS Operating System512 GB SSD33.78 cm (13.3 Inch) DisplayBuilt-in Apps: iMovie, Siri, GarageBand, Pages, Numbers, Photos, Keynote, Safari, Mail, FaceTime, Messages, Maps, Stocks, Home, Voice Memos, Notes, Calendar, Contacts, Reminders, Photo Booth, Preview, Books, App Store, Time Machine, TV, Music, Podcasts, Find My, QuickTime Player1 Year Limited Warranty",https://www.flipkart.com/apple-2022-macbook-pro-m2-8-gb-512-gb-ssd-mac-os-monterey-mnej3hn-a/p/itm6a30dab6477d1?pid=COMGFB2GHYYUVJGF&lid=LSTCOMGFB2GHYYUVJGFISMUCW&marketplace=FLIPKART&q=laptop+under+under+150000&store=6bo%2Fb5g&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=70d0256a-65e3-4dd5-993d-90bd8faf9533.COMGFB2GHYYUVJGF.SEARCH&ppt=None&ppn=None&ssid=x9pupqm2q80000001699188335037&qH=c5d334db81c10595,https://www.flipkart.com/apple-2022-macbook-pro-m2-8-gb-512-gb-ssd-mac-os-monterey-mnej3hn-a/product-reviews/itm6a30dab6477d1?pid=COMGFB2GHYYUVJGF&lid=LSTCOMGFB2GHYYUVJGFISMUCW&marketplace=FLIPKART&q=laptop+under+under+150000&store=6bo%2Fb5g&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=70d0256a-65e3-4dd5-993d-90bd8faf9533.COMGFB2GHYYUVJGF.SEARCH&ppt=None&ppn=None&ssid=x9pupqm2q80000001699188335037&qH=c5d334db81c10595
APPLE 2022 MacBook AIR M2 - (8 GB/512 GB SSD/Mac OS Monterey) MLXX3HN/A,117990.0,4.7,"Apple M2 Processor8 GB Unified Memory RAMMac OS Operating System512 GB SSD34.54 cm (13.6 Inch) DisplayBuilt-in Apps: iMovie, Siri, GarageBand, Pages, Numbers, Photos, Keynote, Safari, Mail, FaceTime, Messages, Maps, Stocks, Home, Voice Memos, Notes, Calendar, Contacts, Reminders, Photo Booth, Preview, Books, App Store, Time Machine, TV, Music, Podcasts, Find My, QuickTime Player1 Year Limited Warra­nty",https://www.flipkart.com/apple-2022-macbook-air-m2-8-gb-512-gb-ssd-mac-os-monterey-mlxx3hn-a/p/itmc71e4371af436?pid=COMGFB2GNWNN9DN8&lid=LSTCOMGFB2GNWNN9DN8OLT676&marketplace=FLIPKART&q=laptop+under+under+150000&store=6bo%2Fb5g&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=70d0256a-65e3-4dd5-993d-90bd8faf9533.COMGFB2GNWNN9DN8.SEARCH&ppt=None&ppn=None&ssid=x9pupqm2q80000001699188335037&qH=c5d334db81c10595,https://www.flipkart.com/apple-2022-macbook-air-m2-8-gb-512-gb-ssd-mac-os-monterey-mlxx3hn-a/product-reviews/itmc71e4371af436?pid=COMGFB2GNWNN9DN8&lid=LSTCOMGFB2GNWNN9DN8OLT676&marketplace=FLIPKART&q=laptop+under+under+150000&store=6bo%2Fb5g&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=70d0256a-65e3-4dd5-993d-90bd8faf9533.COMGFB2GNWNN9DN8.SEARCH&ppt=None&ppn=None&ssid=x9pupqm2q80000001699188335037&qH=c5d334db81c10595
