Product,Price,Rating,Description,Url,Product Review ID
Wings Nuvobook S1 Aluminium Alloy Metal Body Intel Core i3 11th Gen 1125G4 - (8 GB/256 GB SSD/Windows ...,"₹24,990",4.2,Intel Core i3 Processor (11th Gen)8 GB DDR4 RAMWindows 11 Operating System256 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,/wings-nuvobook-s1-aluminium-alloy-metal-body-intel-core-i3-11th-gen-1125g4-8-gb-256-gb-ssd-windows-11-home-wl-nuvobook-s1-grn-thin-light-laptop/p/itma074a71804e83?pid=COMGQHYFTMAKHBAN&lid=LSTCOMGQHYFTMAKHBANLB0BWS&marketplace=FLIPKART&q=laptop+under+under+150000&store=6bo%2Fb5g&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=en_WMqtlhQFMUqfQwhC8Wj1GoM8o0twD2HSNQdzAZgrX1u0T6O8LhVXjc-mJ2lqBXrw0vX2yJUc9PHO1lozKRExhQ%3D%3D&ppt=None&ppn=None&ssid=zb6k1i8jo00000001699377445447&qH=c5d334db81c10595,1
Wings Nuvobook S1 Aluminium Alloy Metal Body Intel Core i3 11th Gen 1125G4 - (8 GB/256 GB SSD/Windows ...,"₹24,990",4.2,Intel Core i3 Processor (11th Gen)8 GB DDR4 RAMWindows 11 Operating System256 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,/wings-nuvobook-s1-aluminium-alloy-metal-body-intel-core-i3-11th-gen-1125g4-8-gb-256-gb-ssd-windows-11-home-wl-nuvobook-s1-slv-thin-light-laptop/p/itm031dee32b0d0e?pid=COMGQHYFQFWJV7AD&lid=LSTCOMGQHYFQFWJV7AD9POEPS&marketplace=FLIPKART&q=laptop+under+under+150000&store=6bo%2Fb5g&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=en_WMqtlhQFMUqfQwhC8Wj1GoM8o0twD2HSNQdzAZgrX1sox9iM2wPE5615_l4tRTEYuTLwkOMHuY592InyX-mS5Q%3D%3D&ppt=None&ppn=None&ssid=zb6k1i8jo00000001699377445447&qH=c5d334db81c10595,1
MSI Katana 15 Core i7 13th Gen 13620H - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce R...,"₹1,13,990",3.3,Intel Core i7 Processor (13th Gen)16 GB DDR5 RAMWindows 11 Operating System1 TB SSD39.62 cm (15.6 Inch) Display2 Year Carry-in Warranty,/msi-katana-15-core-i7-13th-gen-13620h-16-gb-1-tb-ssd-windows-11-home-8-gb-graphics-nvidia-geforce-rtx-4060-144-hz-b13vfk-296in-gaming-laptop/p/itm575c0dfc9902c?pid=COMGRDC8QGXJTZFH&lid=LSTCOMGRDC8QGXJTZFHECWHT9&marketplace=FLIPKART&q=laptop+under+under+150000&store=6bo%2Fb5g&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=68785c6c-5172-419a-8bc2-d4756e1d1a89.COMGRDC8QGXJTZFH.SEARCH&ppt=None&ppn=None&ssid=zb6k1i8jo00000001699377445447&qH=c5d334db81c10595,1
Acer Predator Neo (2023) Core i7 13th Gen 13700HX - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NV...,"₹1,04,990",4.5,Intel Core i7 Processor (13th Gen)16 GB DDR5 RAMWindows 11 Operating System512 GB SSD40.64 cm (16 Inch) Display1 Year International Travelers Warranty (ITW),/acer-predator-neo-2023-core-i7-13th-gen-13700hx-16-gb-512-gb-ssd-windows-11-home-6-graphics-nvidia-geforce-rtx-4050-phn16-71-74h1-gaming-laptop/p/itmc7bb5d6127ce6?pid=COMGZS9GMHCJY9FF&lid=LSTCOMGZS9GMHCJY9FFAPRA7L&marketplace=FLIPKART&q=laptop+under+under+150000&store=6bo%2Fb5g&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=68785c6c-5172-419a-8bc2-d4756e1d1a89.COMGZS9GMHCJY9FF.SEARCH&ppt=None&ppn=None&ssid=zb6k1i8jo00000001699377445447&qH=c5d334db81c10595,1
APPLE 2022 MacBook AIR M2 - (8 GB/512 GB SSD/Mac OS Monterey) MLXX3HN/A,"₹1,17,990",4.7,"Apple M2 Processor8 GB Unified Memory RAMMac OS Operating System512 GB SSD34.54 cm (13.6 Inch) DisplayBuilt-in Apps: iMovie, Siri, GarageBand, Pages, Numbers, Photos, Keynote, Safari, Mail, FaceTime, Messages, Maps, Stocks, Home, Voice Memos, Notes, Calendar, Contacts, Reminders, Photo Booth, Preview, Books, App Store, Time Machine, TV, Music, Podcasts, Find My, QuickTime Player1 Year Limited Warra­nty",/apple-2022-macbook-air-m2-8-gb-512-gb-ssd-mac-os-monterey-mlxx3hn-a/p/itmc71e4371af436?pid=COMGFB2GNWNN9DN8&lid=LSTCOMGFB2GNWNN9DN8OLT676&marketplace=FLIPKART&q=laptop+under+under+150000&store=6bo%2Fb5g&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=68785c6c-5172-419a-8bc2-d4756e1d1a89.COMGFB2GNWNN9DN8.SEARCH&ppt=None&ppn=None&ssid=zb6k1i8jo00000001699377445447&qH=c5d334db81c10595,1
APPLE 2022 MacBook Pro M2 - (8 GB/256 GB SSD/Mac OS Monterey) MNEH3HN/A,"₹1,09,990",4.6,"Apple M2 Processor8 GB Unified Memory RAMMac OS Operating System256 GB SSD33.78 cm (13.3 Inch) DisplayBuilt-in Apps: iMovie, Siri, GarageBand, Pages, Numbers, Photos, Keynote, Safari, Mail, FaceTime, Messages, Maps, Stocks, Home, Voice Memos, Notes, Calendar, Contacts, Reminders, Photo Booth, Preview, Books, App Store, Time Machine, TV, Music, Podcasts, Find My, QuickTime Player1 Year Limited Warranty",/apple-2022-macbook-pro-m2-8-gb-256-gb-ssd-mac-os-monterey-mneh3hn-a/p/itmfa83bc5179407?pid=COMGFB2GHCBHUDTZ&lid=LSTCOMGFB2GHCBHUDTZMVC2QE&marketplace=FLIPKART&q=laptop+under+under+150000&store=6bo%2Fb5g&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=68785c6c-5172-419a-8bc2-d4756e1d1a89.COMGFB2GHCBHUDTZ.SEARCH&ppt=None&ppn=None&ssid=zb6k1i8jo00000001699377445447&qH=c5d334db81c10595,1
Acer Predator Neo (2023) Core i7 13th Gen 13700HX - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVID...,"₹1,09,990",4.5,Intel Core i7 Processor (13th Gen)16 GB DDR5 RAMWindows 11 Operating System1 TB SSD40.64 cm (16 Inch) Display1 Year International Travelers Warranty (ITW),/acer-predator-neo-2023-core-i7-13th-gen-13700hx-16-gb-1-tb-ssd-windows-11-home-6-gb-graphics-nvidia-geforce-rtx-4050-phn16-71-757p-gaming-laptop/p/itmbac4c539241e8?pid=COMGZS9GYMHMGDT6&lid=LSTCOMGZS9GYMHMGDT6BRZQ8C&marketplace=FLIPKART&q=laptop+under+under+150000&store=6bo%2Fb5g&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=68785c6c-5172-419a-8bc2-d4756e1d1a89.COMGZS9GYMHMGDT6.SEARCH&ppt=None&ppn=None&ssid=zb6k1i8jo00000001699377445447&qH=c5d334db81c10595,1
Wings Nuvobook V1 Aluminium Alloy Metal Body Intel Core i5 11th Gen 1155G7 - (8 GB/512 GB SSD/Windows ...,"₹29,990",4.3,Intel Core i5 Processor (11th Gen)8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,/wings-nuvobook-v1-aluminium-alloy-metal-body-intel-core-i5-11th-gen-1155g7-8-gb-512-gb-ssd-windows-11-home-wl-nuvobook-v1-grn-thin-light-laptop/p/itm08b220f630a42?pid=COMGQHYFDAV3PF5G&lid=LSTCOMGQHYFDAV3PF5GOQDUUE&marketplace=FLIPKART&q=laptop+under+under+150000&store=6bo%2Fb5g&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=en_WMqtlhQFMUqfQwhC8Wj1GoM8o0twD2HSNQdzAZgrX1uKwFzxD2vrEMGJ3TN6_uq2p7sThSP_qUg9xoDHSAW0Hg%3D%3D&ppt=None&ppn=None&ssid=zb6k1i8jo00000001699377445447&qH=c5d334db81c10595,1
APPLE 2022 MacBook AIR M2 - (8 GB/512 GB SSD/Mac OS Monterey) MLY43HN/A,"₹1,17,990",4.6,"Apple M2 Processor8 GB Unified Memory RAMMac OS Operating System512 GB SSD34.54 cm (13.6 Inch) DisplayBuilt-in Apps: iMovie, Siri, GarageBand, Pages, Numbers, Photos, Keynote, Safari, Mail, FaceTime, Messages, Maps, Stocks, Home, Voice Memos, Notes, Calendar, Contacts, Reminders, Photo Booth, Preview, Books, App Store, Time Machine, TV, Music, Podcasts, Find My, QuickTime Player1 Year Limited Warranty",/apple-2022-macbook-air-m2-8-gb-512-gb-ssd-mac-os-monterey-mly43hn-a/p/itm85d8044d46450?pid=COMGFB2GDBDYXF9D&lid=LSTCOMGFB2GDBDYXF9DPTKNCZ&marketplace=FLIPKART&q=laptop+under+under+150000&store=6bo%2Fb5g&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=68785c6c-5172-419a-8bc2-d4756e1d1a89.COMGFB2GDBDYXF9D.SEARCH&ppt=None&ppn=None&ssid=zb6k1i8jo00000001699377445447&qH=c5d334db81c10595,1
"ASUS Vivobook S 15 OLED (2023), Intel H-Series Core i9 13th Gen 13900H - (16 GB/1 TB SSD/Windows 11 Ho...","₹1,04,990",4.5,Intel Core i9 Processor (13th Gen)16 GB LPDDR5 RAMWindows 11 Operating System1 TB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,/asus-vivobook-s-15-oled-2023-intel-h-series-core-i9-13th-gen-13900h-16-gb-1-tb-ssd-windows-11-home-s5504va-ma951ws-thin-light-laptop/p/itmbdee4a78c91c4?pid=COMGR5QE47RK2JEG&lid=LSTCOMGR5QE47RK2JEGISBNED&marketplace=FLIPKART&q=laptop+under+under+150000&store=6bo%2Fb5g&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=68785c6c-5172-419a-8bc2-d4756e1d1a89.COMGR5QE47RK2JEG.SEARCH&ppt=None&ppn=None&ssid=zb6k1i8jo00000001699377445447&qH=c5d334db81c10595,1
