iter	Passed	Remaining
0	0	643
1	2	1409
2	5	1842
3	7	1837
4	10	2057
5	13	2285
6	16	2371
7	19	2475
8	21	2395
9	24	2438
10	25	2275
11	28	2335
12	28	2173
13	31	2190
14	33	2195
15	36	2260
16	39	2287
17	42	2308
18	46	2400
19	48	2371
20	50	2348
21	54	2421
22	57	2442
23	60	2455
24	63	2493
25	66	2498
26	70	2523
27	73	2546
28	75	2538
29	79	2554
30	82	2578
31	83	2510
32	84	2464
33	86	2445
34	88	2437
35	91	2446
36	93	2423
37	95	2421
38	97	2414
39	100	2407
40	102	2401
41	105	2396
42	108	2413
43	111	2420
44	114	2432
45	117	2443
46	120	2449
47	123	2455
48	126	2463
49	128	2448
50	132	2463
51	135	2476
52	139	2495
53	143	2511
54	145	2494
55	148	2504
56	151	2506
57	153	2491
58	157	2508
59	159	2504
60	162	2500
61	165	2498
62	169	2516
63	173	2530
64	175	2530
65	179	2535
66	180	2513
67	182	2500
68	184	2486
69	186	2483
70	189	2479
71	191	2465
72	193	2458
73	196	2457
74	198	2452
75	200	2439
76	202	2430
77	205	2434
78	208	2425
79	211	2434
80	212	2412
81	216	2420
82	218	2412
83	220	2402
84	222	2397
85	224	2388
86	227	2385
87	230	2389
88	233	2385
89	236	2387
90	239	2389
91	242	2391
92	245	2390
93	247	2385
94	250	2381
95	252	2374
96	254	2366
97	257	2370
98	259	2360
99	261	2350
100	264	2353
101	267	2356
102	270	2356
103	273	2356
104	277	2361
105	281	2370
106	283	2368
107	285	2357
108	287	2353
109	291	2354
110	293	2347
111	296	2351
112	299	2352
113	302	2349
114	306	2357
115	308	2353
116	312	2355
117	313	2346
118	316	2340
119	318	2334
120	320	2325
121	322	2321
122	325	2322
123	328	2319
124	331	2318
125	333	2310
126	335	2304
127	337	2300
128	341	2305
129	344	2304
130	346	2301
131	348	2294
132	352	2295
133	355	2294
134	357	2292
135	361	2294
136	363	2292
137	366	2288
138	368	2285
139	372	2287
140	375	2290
141	379	2293
142	382	2292
143	385	2289
144	388	2293
145	391	2287
146	394	2290
147	398	2295
148	400	2288
149	403	2284
150	405	2280
151	407	2275
152	409	2268
153	411	2262
154	414	2258
155	416	2251
156	420	2256
157	422	2252
158	424	2246
159	426	2238
160	428	2234
161	432	2235
162	434	2228
163	435	2222
164	438	2219
165	441	2216
166	444	2218
167	446	2212
168	449	2211
169	453	2215
170	456	2210
171	459	2212
172	462	2211
173	465	2210
174	469	2212
175	473	2215
176	476	2213
177	479	2214
178	482	2212
179	484	2207
180	487	2207
181	490	2204
182	493	2202
183	497	2205
184	499	2201
185	501	2194
186	504	2191
187	506	2188
188	510	2188
189	512	2183
190	514	2177
191	516	2174
192	519	2171
193	522	2168
194	524	2163
195	526	2158
196	528	2153
197	531	2151
198	533	2148
199	536	2144
200	538	2139
201	541	2137
202	542	2131
203	546	2133
204	550	2133
205	553	2132
206	556	2130
207	559	2129
208	562	2129
209	565	2128
210	568	2125
211	571	2123
212	575	2124
213	576	2118
214	579	2116
215	582	2114
216	584	2109
217	587	2106
218	589	2101
219	592	2100
220	595	2098
221	597	2092
222	598	2087
223	600	2081
224	602	2076
225	604	2071
226	606	2065
227	608	2060
228	611	2058
229	613	2053
230	616	2053
231	618	2048
232	620	2042
233	622	2036
234	625	2036
235	628	2034
