iter	Passed	Remaining
0	0	511
1	0	466
2	1	452
3	1	433
4	2	426
5	2	423
6	2	419
7	3	414
8	3	409
9	4	408
10	4	395
11	4	394
12	5	384
13	5	386
14	5	386
15	6	386
16	6	387
17	7	386
18	7	386
19	7	385
20	8	384
21	8	376
22	8	378
23	9	378
24	9	377
25	10	377
26	10	376
27	10	376
28	11	374
29	11	374
30	11	374
31	12	375
32	12	375
33	13	374
34	13	374
35	13	374
36	14	374
37	14	372
38	15	372
39	15	371
40	15	371
41	16	370
42	16	370
43	17	370
44	17	370
45	17	371
46	18	371
47	18	370
48	19	370
49	19	369
50	19	369
51	20	369
52	20	368
53	21	368
54	21	368
55	21	368
56	22	368
57	22	365
58	22	365
59	23	364
60	23	364
61	24	364
62	24	364
63	24	363
64	25	365
65	25	364
66	26	362
67	26	362
68	26	361
69	27	361
70	27	360
71	28	360
72	28	360
73	28	360
74	29	360
75	29	360
76	30	360
77	30	359
78	30	359
79	31	359
80	31	358
81	32	358
82	32	358
83	32	358
84	33	358
85	33	356
86	33	356
87	34	355
88	34	355
89	35	354
90	35	354
91	35	354
92	36	354
93	36	354
94	37	353
95	37	353
96	37	352
97	38	351
98	38	351
99	39	351
100	39	351
101	39	351
102	40	349
103	40	349
104	40	349
105	41	348
106	41	348
107	42	346
108	42	345
109	42	344
110	42	344
111	43	344
112	43	343
113	44	343
114	44	341
115	44	341
116	45	341
117	45	341
118	45	339
119	46	339
120	46	339
121	47	339
122	47	338
123	47	338
124	48	338
125	48	337
126	49	337
127	49	337
128	49	337
129	50	336
130	50	336
131	51	335
132	51	335
133	51	334
134	52	334
135	52	334
136	53	333
137	53	333
138	53	333
139	54	332
140	54	332
141	55	332
142	55	332
143	55	331
144	56	331
145	56	331
146	57	331
147	57	330
148	57	330
149	58	330
150	58	330
151	59	329
152	59	329
153	59	329
154	60	328
155	60	328
156	61	328
157	61	328
158	61	327
159	62	326
160	62	326
161	63	325
162	63	325
163	63	325
164	64	325
165	64	324
166	65	324
167	65	324
168	65	322
169	66	322
170	66	322
171	66	321
172	67	320
173	67	320
174	67	320
175	68	320
176	68	319
177	69	319
178	69	319
179	70	318
180	70	318
181	70	317
182	71	317
183	71	317
184	71	317
185	72	316
186	72	316
187	73	316
188	73	315
189	73	315
190	74	314
191	74	314
192	75	314
193	75	314
194	75	313
195	76	313
196	76	313
197	77	312
198	77	312
199	77	311
200	78	311
201	78	311
202	79	310
203	79	310
204	79	309
205	80	309
206	80	309
207	80	308
208	81	307
209	81	307
210	82	307
211	82	306
212	82	306
213	83	306
214	83	306
215	84	305
216	84	305
217	85	304
218	85	304
219	85	304
220	86	304
221	86	303
222	87	303
223	87	302
224	87	302
225	88	302
226	88	302
227	89	301
228	89	301
229	89	300
230	90	300
231	90	300
232	91	300
233	91	299
234	91	299
235	92	298
236	92	298
237	93	298
238	93	297
239	94	297
240	94	297
241	94	297
242	95	296
243	95	296
244	96	295
245	96	295
246	96	295
247	97	294
248	97	294
249	97	293
250	98	293
251	98	292
252	99	292
253	99	291
254	99	291
255	102	298
256	107	310
257	111	321
258	112	323
259	117	334
260	121	344
261	124	351
262	125	350
263	125	349
264	125	348
265	126	348
266	126	347
267	127	347
268	127	346
269	127	345
270	128	345
271	128	344
272	129	344
273	129	343
274	133	352
275	136	357
276	140	366
277	142	369
278	142	369
279	143	368
280	143	367
281	143	366
282	144	365
283	144	365
284	145	364
285	145	363
286	146	362
287	146	362
288	146	361
289	147	360
290	147	359
291	148	359
292	148	358
293	148	357
294	149	356
295	149	355
296	149	355
297	150	354
298	150	353
299	151	352
300	151	352
301	151	351
302	152	350
303	152	349
304	153	348
305	153	348
306	153	347
307	154	346
308	154	345
309	155	345
310	155	344
311	155	343
312	156	343
313	156	342
314	157	341
315	157	341
316	157	340
317	158	339
318	158	339
319	159	338
320	159	337
321	159	336
322	160	335
323	160	335
324	161	334
325	161	333
326	161	333
327	162	332
328	162	331
329	163	330
330	163	330
331	163	329
332	164	328
333	164	328
334	165	327
335	165	326
336	165	326
337	166	325
338	166	325
339	167	324
340	167	323
341	167	322
342	168	322
343	168	321
344	169	321
345	169	320
346	169	319
347	170	319
348	170	318
349	171	317
350	171	317
351	171	316
352	172	315
353	172	315
354	173	314
355	173	314
356	174	313
357	174	312
358	174	312
359	175	311
360	175	310
361	175	310
362	176	309
363	176	308
364	177	308
365	177	307
366	177	306
367	178	306
368	178	305
369	179	304
370	179	304
371	179	303
372	180	303
373	180	302
374	181	301
375	181	301
376	182	300
377	182	300
378	182	299
379	183	299
380	183	298
381	184	297
382	184	297
383	184	296
384	185	296
385	185	295
386	186	294
387	186	294
388	186	293
389	187	293
390	187	292
391	188	291
392	188	291
393	188	290
394	189	290
395	189	289
396	190	288
397	190	288
398	190	287
399	191	287
400	191	286
401	192	285
402	192	285
403	192	284
404	193	284
405	193	283
406	194	282
407	194	282
408	194	281
409	195	281
410	195	280
411	196	279
412	196	279
413	196	278
414	197	278
415	197	277
416	198	277
417	198	276
418	198	275
419	199	275
420	199	274
421	200	274
422	200	273
423	200	273
424	201	272
425	201	271
426	202	271
427	202	270
428	203	270
429	203	269
430	203	269
431	204	268
432	204	267
433	204	267
434	205	266
435	205	266
436	206	265
437	206	265
438	207	264
439	207	264
440	207	263
441	208	262
442	208	262
443	209	261
444	209	261
445	209	260
446	210	260
447	210	259
448	211	259
449	211	258
450	212	258
451	212	257
452	212	257
453	213	256
454	213	255
455	214	255
456	214	254
457	214	254
458	215	253
459	215	253
460	216	252
461	216	252
462	216	251
463	217	251
464	217	250
465	218	250
466	218	249
467	218	248
468	219	248
469	219	247
470	220	247
471	220	246
472	220	246
473	221	245
474	221	245
475	222	244
476	222	244
477	223	243
478	223	243
479	223	242
480	224	242
481	224	241
482	225	240
483	225	240
484	225	239
485	226	239
486	226	238
487	227	238
488	227	237
489	227	237
490	228	236
491	228	236
492	229	235
493	229	235
494	229	234
495	230	233
496	230	233
497	231	233
498	232	233
499	232	232
500	233	232
501	233	231
502	233	231
503	234	230
504	234	230
505	235	229
506	235	229
507	235	228
508	236	228
509	236	227
510	237	227
511	237	226
512	238	225
513	238	225
514	238	224
515	239	224
516	239	223
517	239	223
518	240	222
519	240	222
520	241	221
521	241	221
522	242	220
523	242	220
524	242	219
525	243	219
526	243	218
527	244	218
528	244	217
529	244	217
530	245	216
531	245	216
532	246	215
533	246	215
534	246	214
535	247	214
536	247	213
537	248	213
538	248	212
539	248	212
540	249	211
541	249	211
542	250	210
543	250	210
544	250	209
545	251	209
546	251	208
547	252	207
548	252	207
549	252	206
550	253	206
551	253	205
552	254	205
553	254	204
554	255	204
555	255	203
556	255	203
557	256	202
558	256	202
559	257	201
560	257	201
561	257	200
562	258	200
563	258	199
564	259	199
565	259	198
566	259	198
567	260	197
568	260	197
569	261	196
570	261	196
571	261	195
572	262	195
573	262	194
574	263	194
575	263	193
576	263	193
577	264	192
578	264	192
579	265	191
580	265	191
581	265	191
582	266	190
583	266	190
584	267	189
585	267	189
586	268	188
587	268	188
588	268	187
589	269	187
590	269	186
591	270	186
592	270	185
593	270	185
594	271	184
595	271	184
596	272	183
597	272	183
598	272	182
599	273	182
600	273	181
601	274	181
602	274	180
603	274	180
604	275	179
605	275	179
606	276	178
607	276	178
608	276	177
609	277	177
610	277	176
611	278	176
612	278	175
613	279	175
614	279	174
615	279	174
616	280	173
617	280	173
618	281	172
619	281	172
620	281	172
621	282	171
622	282	170
623	282	170
624	283	170
625	283	169
626	284	169
627	284	168
628	284	168
629	285	167
630	285	167
631	286	166
632	286	166
633	287	165
634	287	165
635	287	164
636	288	164
637	288	163
638	289	163
639	289	162
640	289	162
641	290	161
642	290	161
643	291	160
644	291	160
645	291	159
646	292	159
647	292	158
648	293	158
649	293	157
650	293	157
651	294	157
652	294	156
653	294	156
654	295	155
655	295	155
656	296	154
657	296	154
658	297	153
659	297	153
660	297	152
661	298	152
662	298	151
663	299	151
664	299	150
665	299	150
666	300	149
667	300	149
668	301	148
669	301	148
670	301	148
671	302	147
672	302	147
673	303	146
674	303	146
675	303	145
676	304	145
677	304	144
678	305	144
679	305	143
680	305	143
681	306	142
682	306	142
683	307	141
684	307	141
685	307	140
686	308	140
687	308	140
688	309	139
689	309	139
690	309	138
691	310	138
692	310	137
693	311	137
694	311	136
695	311	136
696	312	135
697	312	135
698	313	134
699	313	134
700	313	133
701	314	133
702	314	132
703	315	132
704	315	131
705	315	131
706	316	131
707	316	130
708	316	130
709	317	129
710	317	129
711	318	128
712	318	128
713	318	127
714	319	127
715	319	126
716	320	126
717	320	125
718	320	125
719	321	124
720	321	124
721	322	123
722	322	123
723	322	123
724	323	122
725	323	122
726	324	121
727	324	121
728	324	120
729	325	120
730	325	119
731	326	119
732	326	118
733	326	118
734	327	118
735	327	117
736	328	117
737	328	116
738	328	116
739	329	115
740	329	115
741	330	114
742	330	114
743	331	113
744	331	113
745	331	112
746	332	112
747	332	112
748	333	111
749	333	111
750	333	110
751	334	110
752	334	109
753	335	109
754	335	108
755	335	108
756	336	107
757	336	107
758	337	107
759	337	106
760	338	106
761	338	105
762	338	105
763	339	104
764	339	104
765	340	103
766	340	103
767	340	102
768	341	102
769	341	102
770	342	101
